Certificate,Section,Module,Topic,Prompt,Answer,PromptType
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of High Availability and Scalability,<p>High Availability</p>,<p>Focuses on ensuring maximum uptime. regardless of disruptions or events that may occur. Solutions must account for service availability guarantees. These are part of the Service Level Agreements (SLAs).</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of High Availability and Scalability,<p>Scalability</p>,<p>Refers to the ability to adjust resources to meet demand.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of High Availability and Scalability,<p>Service Level Agreement (SLA)</p>,<p>A formal agreement between service provider and customer ensuring a certain level of service.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of High Availability and Scalability,<p>How Azure represents its SLAs.</p>,<p>As a percentage of uptime for a service.</p>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of High Availability and Scalability,<p>The two types of scalability and their meaning.</p>,<ul>    <li>Horizontal: Adding or subtracting from the total number of resources.</li>    <li>Vertical: Increasing the capabilities of exisiting resources.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of High Availability and Scalability,<p>Horizontal Scaling</p>,<p>Adding or subtracting from the total number of resources.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of High Availability and Scalability,<p>Vertical Scaling</p>,<p>Increasing the capabilities of exisiting resources.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of High Availability and Scalability,<p>Benefits of scalability.</p>,<ul>    <li>Ability to adjust resources to meet demand.</li>    <li>Don't overpay for underutilised/overutilized services.</li>    <li>You only pay for what you use.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Cloud,<p>The seven major benefits of using cloud services.</p>,<ul>    <li>High Availability</li>    <li>Scalability</li>    <li>Reliability</li>    <li>Predictability</li>    <li>Security</li>    <li>Governance</li>    <li>Manageability</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Reliability and Predictability,<p>Reliability</p>,<p>The ability of a system to recover from failures and continue to function.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Reliability and Predictability,<p>At a high level. how does Azure ensure Reliability for its consumers?</p>,<p>A decentralised design enables Azure cloud to deploy resources and backups around the world. thereby enabling failover even when experiencing a catastrophic event in an entire region.</p>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Reliability and Predictability,<p>The two main focuses of Azure Cloud Predictability.</p>,<p>Performance. and Cost.</p>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Reliability and Predictability,<p>Examples of Azure services and features which support performance predictability.</p>,<ul>    <li>Autoscaling</li>    <li>Load Balancing</li>    <li>High Availability</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Reliability and Predictability,<p>Azure cloud tools that can estimate potential cloud spend.</p>,<ul>    <li>Total Cost of Ownership (TCO).</li>    <li>Pricing Calculator.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Reliability and Predictability,<p>How cloud supports cost predictability.</p>,<ul>    <li>Track resource use in real time.</li>    <li>Monitor resources to ensure efficeint use.</li>    <li>Apply data analytics to find patterns for planning better resource deployment.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Reliability and Predictability,<p>Cost Predictability</p>,<p>Focuses on predicting or forecasting the cost of the cloud spend.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Security and Governance,<p>Examples of how Azure enables sound Governance.</p>,<ul>    <li>Ability to set templates to ensure that all deployed resources meet corportate and government regulatory requirements.</li>    <li>Ability to update all deployed resources to new standards as they change.</li>    <li>Cloud-based auditing to flag resources which are out of compliance.</li>    <li>Automatic application of software patches and updates.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Security and Governance,<p>At a high level. how does Azure enable robust Security.</p>,<p>At a high level. how does Azure enable robust Security.</p><ul>    <li>Allows consumers to choose the level of security control (i.e. The IaaS model enables manual access to OS. software patches etc. whereas PaaS automatically takes care of updates for you).</li>    <li>Cloud providers are typically more well suited to handle common security events like Distributed Denial of Service (DDoS) attacks.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Manageability,<p>The two types of manageability for cloud computing.</p>,<ul>    <li>Management <b>of</b> the cloud: Managing your cloud environment and resources.</li>    <li>Management <b>in</b> the cloud: How you are able to manage your cloud environment and resources</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe the Benefits of Using Cloud Services,Benefits of Manageability,<p>What tools are available to manage your cloud environment.</p>,<ul>    <li>Through the Web Portal.</li>    <li>Using a Command Line Interface.</li>    <li>Using APIs.</li>    <li>Using PowerShell.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Infrastructure as a Service,<p>Infrastructure as a Service (IaaS)</p>,<p>Cloud provider is responsible for maintaining hardware. network connectivity. and physical security. <br /> The consumer is responsible for everything else.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Infrastructure as a Service,<p>Biggest benefit of IaaS</p>,<ul>    <li>Provides the most flexibility. the maximum amount of control for cloud resources.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Infrastructure as a Service,<p>Scenarios in which IaaS is used.</p>,<ul>    <li>Lift and Shift migration: standing up cloud resources to migrate to.</li>    <li>You have established configs for development and test environments that need to rapidly replicate.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Platform as a Service,<p>In Platform as a Service (PaaS). the cloud provider maintains:</p>,<ul>    <li>Physical infrastructure. security. and networks (inc. internet connection). and</li>    <li>The operating systems. databses. and development tools.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Platform as a Service,<p>Biggest benefit of PaaS</p>,<p>Provides a complete development environment without the headache of maintaining all the development infrastructure.</p>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Platform as a Service,<p>Scenarios in which PaaS is used.</p>,<ul>    <li>Development framework: PaaS provides a framework that developers can build upon to develop or customize cloud-based applications. PaaS lets developers create applications using built-in software components.</li>    <li>Analytics or business intelligence Tools provided as a service with PaaS allow organizations to analyze and mine their data. finding insights and patterns and predicting outcomes to improve forecasting. product design decisions. investment returns. and other business decisions.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Software as a Service,<p>Software as a Service (SaaS)</p>,<p>The most complete cloud service model. from a product perspective. With SaaS. you're essentially renting or using a fully developed application. Email . financial software. messaging applications. and connectivity software are all common examples of a SaaS implementation</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Software as a Service,<p>Biggest benefit of SaaS</p>,<p>While the SaaS model may be the least flexible. it's also the easiest to get up and running. It require the least amount of technical knowledge or expertise to fully employ.</p>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Software as a Service,<p>In Software as a Service (SaaS). the cloud provider is responsible for:</p>,<ul>    <li>Everything apart from:</li>    <li>The data you put into the system.</li>    <li>The devices you allow to connect to the system. and the users that have access.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Service Types,Describe Software as a Service,<p>Scenarios in which SaaS is used.</p>,<ul>    <li>Email and Messaging.</li>    <li>Business productivity applications.</li>    <li>Finance and expense tracking.</li></ul>,Question
